gene_id,C_0074_BA9_mRNASeq,C_0107_BA9_mRNASeq,H_1106_BA9_mRNASeq,H_0821_BA9_mRNASeq,C_0103_BA9_mRNASeq,C_0113_CAP_mRNASeq,C_0106_BA9_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,C_0054_BA9_mRNASeq,H_0802_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_0791_BA9_mRNASeq
ENSG00000143641.9,1774.39,1816.36,1664.06,1767.18,1522.61,1278.0,1171.6,1106.43,1707.75,1542.0,1682.18,1496.32,1742.8
ENSG00000204152.10,564.578,939.581,740.753,760.09,776.534,674.153,659.942,552.115,917.807,770.685,899.1139999999998,724.408,589.602
ENSG00000226741.1,5.0,19.0,13.0,25.0,10.0,37.0,25.0,63.0,45.0,4.0,20.0,77.0,20.0
ENSG00000231405.1,2.0,2.0,2.0,4.0,0.0,37.0,1.0,23.0,40.0,1.0,3.0,39.0,4.0
ENSG00000201331.1,60.0,26.0,24.0,19.0,28.0,30.0,39.0,24.0,14.0,76.0,44.0,33.0,62.0
ENSG00000143862.7,905.51,1182.71,1034.63,1082.11,649.2959999999998,807.797,622.189,587.611,1011.41,987.863,701.955,710.591,753.59
ENSG00000223650.1,146.216,474.289,202.166,525.0,291.0,250.452,246.0,172.0,363.838,188.0,416.54,154.18200000000004,306.363
ENSG00000107779.12,1477.61,1909.5,1735.37,1541.67,1634.91,1943.71,1755.16,2268.86,2392.49,1984.76,2002.99,2042.21,2422.78
ENSG00000162775.14,699.0010000000002,1112.0,864.29,1082.0,765.0,842.0,870.0,918.0,1113.0,748.0010000000002,833.0010000000002,659.0,1194.0
ENSG00000144749.13,2564.26,2985.61,2945.92,5480.09,2867.17,3402.5,1777.69,2926.96,7533.11,3342.35,2842.42,4852.57,2694.53
ENSG00000138378.17,1048.63,1759.88,1137.74,1032.66,1330.58,779.959,1437.42,254.496,351.824,2076.99,1914.78,570.607,1403.61
