gene_id,Gene name,HGNC symbol,counts__beta,counts__p,counts__padj
ENSG00000163596,ICA1L,ICA1L,0.002644569635730575,0.0001453009312410991,0.0026583141620960967
ENSG00000214530,STARD10,STARD10,-0.0026836366261993928,0.00014551996922251842,0.002660455835351284
ENSG00000124429,POF1B,POF1B,-0.1555267840112323,0.00014664287656485087,0.0026772330347798424
ENSG00000204851,PNMAL2,PNMAL2,0.0005413604124220612,0.00014658742136353098,0.0026772330347798424
ENSG00000125084,WNT1,WNT1,0.03463913359564502,0.00014687328749729556,0.002679564473788073
ENSG00000144711,IQSEC1,IQSEC1,0.0005755896963689753,0.0001475663650817305,0.002690327671989704
ENSG00000103657,HERC1,HERC1,0.000903073079633752,0.00014790653983676183,0.002694646450978547
ENSG00000272434,RP13-131K19.6,,-0.11066729159135412,0.00014804060871909108,0.002695206867321959
ENSG00000228126,FALEC,FALEC,0.15998874876897565,0.00014823254226747906,0.002696819243525984
ENSG00000196411,EPHB4,EPHB4,-0.009998450189136155,0.0001484001742293462,0.002697987557818405
ENSG00000174586,ZNF497,ZNF497,0.024035958141979896,0.00014892842053104705,0.0027042308965239572
ENSG00000272288,RP11-140K17.3,,-0.03453461741096602,0.0001489508911152182,0.0027042308965239572
ENSG00000197562,RAB40C,RAB40C,0.002051744642485268,0.00014912983274284475,0.0027055968055828073
ENSG00000023445,BIRC3,BIRC3,-0.01031146440318963,0.00014963723853722577,0.002712915855592553
ENSG00000100991,TRPC4AP,TRPC4AP,0.0026290700524904662,0.00014977475486133152,0.002713523319150888
ENSG00000254827,SLC22A18AS,SLC22A18AS,0.06401078190076895,0.00015009797556253535,0.002717492078036769
ENSG00000132359,RAP1GAP2,RAP1GAP2,0.0008015927075626133,0.00015041555746342358,0.0027213533139134947
ENSG00000184368,MAP7D2,MAP7D2,0.0011123872709638083,0.0001508069706488424,0.002726544045223596
ENSG00000139910,NOVA1,NOVA1,0.0018246623919859024,0.00015134814796258222,0.0027344334017976512
ENSG00000172954,LCLAT1,LCLAT1,0.013335234338208045,0.00015198743274646984,0.002744083136970694
ENSG00000258859,RP11-594C13.1,,0.0482385946043056,0.00015221612239613158,0.002746311491834493
ENSG00000176236,C10orf111,C10orf111,-0.0640853647339393,0.00015260587554399851,0.002751440695969162
ENSG00000117091,CD48,CD48,-0.10396297691409266,0.00015283509631458522,0.0027517700674611558
ENSG00000267745,RP11-686D22.8,,-0.1476017364239445,0.00015274320678004832,0.0027517700674611558
ENSG00000186523,FAM86B1,FAM86B1,0.009570408886244807,0.0001532032412125961,0.002756496110341669
ENSG00000261051,RP11-274H2.5,,-0.07558750088824792,0.00015368214507605058,0.0027632070867602237
ENSG00000186868,MAPT,MAPT,0.00030809143635904734,0.00015383373453503602,0.0027640277550169106
ENSG00000122557,HERPUD2,HERPUD2,-0.00580078155396675,0.0001540543156037799,0.0027660860562883785
ENSG00000272416,CTD-2081C10.7,,-0.060772285799700565,0.0001544121729990522,0.002770604663942416
ENSG00000229931,RP1-151F17.1,,0.05736691734929932,0.0001546344402069133,0.002772685849180867
ENSG00000187513,GJA4,GJA4,-0.007840302187345036,0.0001548019414431279,0.002773782864223738
ENSG00000118473,SGIP1,SGIP1,0.0013603886943730867,0.00015544139245338146,0.002783329092461407
ENSG00000271474,RP11-710C12.1,,0.010384343547481837,0.00015572292072807414,0.002786457667266616
ENSG00000117500,TMED5,TMED5,-0.002328403429437325,0.00015609646793546259,0.002790048503562746
