gene_id,Gene name,HGNC symbol,counts__beta,counts__p,counts__padj
ENSG00000136244,IL6,IL6,0.009530409722989278,0.0033314917509116304,0.03443155434338869
ENSG00000183458,RP11-958N24.1,,-0.0011469670196031575,0.003330953728515218,0.03443155434338869
ENSG00000129696,TTI2,TTI2,0.018044831292020787,0.003329504250209281,0.03443155434338869
ENSG00000156313,RPGR,RPGR,0.0043033545761058,0.003341854878442075,0.034526728640484436
ENSG00000272861,RP11-332H14.1,,0.07165614979998322,0.0033441845234721823,0.03453886709152382
ENSG00000185345,PARK2,PARK2,-0.0036724682741021797,0.003349134316113611,0.034578048807372495
ENSG00000129474,AJUBA,AJUBA,0.01691815187724464,0.0033514522937067017,0.03459004075388802
ENSG00000007001,UPP2,UPP2,0.01047218748180276,0.003356030253525155,0.034625341456687615
ENSG00000106100,NOD1,NOD1,0.010408370597960195,0.003364877013115386,0.03469268233791148
ENSG00000185262,UBALD2,UBALD2,0.0020079441809801764,0.003363936548811175,0.03469268233791148
ENSG00000185442,FAM174B,FAM174B,-0.003931016894031708,0.003370342695895645,0.034737060659627415
ENSG00000260645,RP11-250B2.5,,0.02219947290395792,0.0033759419789176626,0.034782784908517834
ENSG00000188487,INSC,INSC,0.07927515124720427,0.0033804823355639835,0.03481757116278194
ENSG00000243480,AMY2A,AMY2A,-0.01641716804254574,0.003382730413936441,0.034828732076020295
ENSG00000198729,PPP1R14C,PPP1R14C,-0.00256687338493571,0.0033909972756477336,0.03488982749041064
ENSG00000092098,RNF31,RNF31,-0.0029212260370340827,0.003390406002852675,0.03488982749041064
ENSG00000173714,WFIKKN2,WFIKKN2,0.015069316085070568,0.003397382105314484,0.03493573227409666
ENSG00000116918,TSNAX,TSNAX,-0.0013861832603851553,0.003397794890850792,0.03493573227409666
ENSG00000146373,RNF217,RNF217,0.0024145287153159354,0.003401831103348352,0.03496521247462172
ENSG00000092036,HAUS4,HAUS4,0.006807563193665788,0.003403589842684962,0.03497127179481525
ENSG00000157227,MMP14,MMP14,0.002607990427010179,0.003406407725455751,0.03498820572403211
ENSG00000164674,SYTL3,SYTL3,0.021240614084576004,0.003411391398304043,0.035027365850763444
ENSG00000137948,BRDT,BRDT,0.04478980689435561,0.003413150862015546,0.035033405038738835
ENSG00000164209,SLC25A46,SLC25A46,-0.0008302036125498354,0.0034149248974850717,0.035039589599924016
ENSG00000110881,ASIC1,ASIC1,-0.0017540869264822054,0.003418542508772826,0.0350646798482151
ENSG00000230852,RP11-51G5.1,,-0.08610797740720298,0.003439183822297132,0.035264308578987734
ENSG00000256193,LINC00507,LINC00507,-0.0016118456618092946,0.0034474931348947857,0.03533739536144724
ENSG00000100591,AHSA1,AHSA1,0.0005892639483986883,0.003463765866155711,0.035431917561376806
ENSG00000236780,LINC01829,LINC01829,-0.1349141028160946,0.003458486359448009,0.035431917561376806
ENSG00000001630,CYP51A1,CYP51A1,-0.0011161897938737047,0.003461527682208088,0.035431917561376806
ENSG00000260404,RP11-384K6.6,,-0.007077637818869203,0.003461309711298321,0.035431917561376806
ENSG00000143933,CALM2,CALM2,-7.438116326968684e-05,0.003459543238630625,0.035431917561376806
ENSG00000136295,TTYH3,TTYH3,-0.0005352345466471991,0.003463822365411761,0.035431917561376806
ENSG00000182165,TP53TG1,TP53TG1,0.010132147415149314,0.003465151118168253,0.03543339143398715
