gene_id,H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
ENSG00000131725.13,1493.57,1570.0,268.0,1884.08,221.0
ENSG00000003096.13,340.0,1720.0,72.0,2892.0,71.0
ENSG00000235244.3,539.409,869.561,22.0,609.715,28.0
ENSG00000271826.5,95.1831,93.8054,14.0141,91.8776,6.2963
ENSG00000123496.7,91.9999,175.0,24.0,308.0,10.0
ENSG00000229487.1,32.7049,46.0713,2.13348,18.8251,0.0589721
ENSG00000077279.17,1189.51,1012.5,170.74599999999995,949.913,119.521
ENSG00000157600.11,718.0010000000002,1298.0,190.0,1382.0,215.0
ENSG00000068366.19,5917.0,1704.0,1174.0,3515.0,909.0
ENSG00000176076.7,22.0,8.0,12.0,33.0,5.0
ENSG00000237863.2,21.0,24.0,7.0,15.0,8.0
ENSG00000261409.1,37.0952,43.5671,17.2984,52.3065,17.3474
ENSG00000188153.12,2864.0,1126.0,584.0,1386.0,290.0
ENSG00000101844.17,321.0,317.0,93.0001,342.0,75.0
ENSG00000101843.18,1786.56,842.1669999999998,731.0,1571.62,577.0
ENSG00000277883.1,42.0,232.0,5.0,133.0,6.0
ENSG00000236064.1,162.186,204.538,48.0,145.009,31.2467
ENSG00000157514.16,1948.0,1829.0,1864.0,2065.0,2605.0
ENSG00000147234.10,324.656,343.4790000000001,126.0,306.1620000000001,113.0
ENSG00000198088.10,16.0855,17.0,3.0,23.0,3.99999
ENSG00000089682.16,810.107,722.597,33.1883,470.362,82.43799999999997
ENSG00000133138.19,1018.37,1051.54,60.1104,765.705,73.4195
ENSG00000123572.16,17.0537,16.0198,2.0,13.0131,1.0
ENSG00000156504.16,1211.0,965.0,745.0,1313.0,605.0
ENSG00000189108.12,244.0,58.0,13.0,69.0,3.0
ENSG00000166707.10,182.0,159.0,109.0,189.0,173.0
ENSG00000235946.1,9.0,14.0,19.0,5.0,16.0
ENSG00000231728.3,36.0,45.3863,2.64849,27.4547,1.0
ENSG00000123570.3,1148.0,1069.0,315.0,1266.0,342.0
ENSG00000179363.6,4.0,21.0,16.0,12.0,4.0
ENSG00000188828.11,14.0,125.0,11.0,61.0,6.0
ENSG00000172465.13,1217.29,496.22,834.8739999999998,867.732,675.9889999999998
ENSG00000196507.10,1522.79,825.7810000000002,1810.65,1586.65,1200.35
ENSG00000133142.17,3790.54,1778.0,2392.5,3646.44,1525.28
ENSG00000172476.4,217.596,1025.97,22.7824,355.654,17.0
ENSG00000182916.7,2900.0,579.0,1832.0,2354.0,1088.0
ENSG00000102409.9,5317.0,2324.0,4359.0,5366.0,2666.0
ENSG00000158164.6,22.1588,27.8164,6.0,15.0,2.0
ENSG00000184515.10,2235.0,309.0,1654.0,1496.0,666.0
ENSG00000184867.13,1714.0,1659.0,774.0,1394.0,763.0010000000002
