	int__beta	int__p	int__padj	Subject.death__beta	Subject.death__p	Subject.death__padj	counts__beta	counts__p	counts__padj
ENSG00000139835.13	1.8446446932652407	1.0	1.0	-0.05386747582957325	0.0047456993992597285	0.08284389988477306	0.015350201625631296	0.0008750072850837176	0.023311039881442057
ENSG00000144045.13	2.332425448318896	1.0	1.0	-0.0359422541785685	0.025862106802111873	0.08284389988477306	-0.013198457821511748	1.0	1.0
ENSG00000224116.6	2.3569941773244736	0.0650703125404909	0.6945333359266503	-0.041671482056683425	0.024389439698508042	0.08284389988477306	-1.0991948662758167e-05	0.8957147316450597	1.0
ENSG00000111052.7	3.2226237609146384	1.0	1.0	-0.047134871975829364	0.14527402631001274	0.15727829139090466	-0.00039031253283692196	1.0	1.0
ENSG00000198223.16	-0.44658984306195854	1.0	1.0	-0.033384908933899504	0.18409144569406555	0.1946429055198809	0.0335964875914698	1.0	1.0
ENSG00000170214.3	4.937676650878606	0.048027398327701976	0.599292907805808	-0.05572666402817422	0.01336919888732524	0.08284389988477306	-0.007320450089695267	0.009588843830456995	0.09844404590639018
ENSG00000135637.13	2.3841844608782123	0.25174557824375	0.9203160407886041	-0.04086709570234725	0.06017505936047274	0.08401028636316442	-0.00048129955162772774	0.6782156947567346	1.0
ENSG00000204822.6	1.3936537001541662	1.0	1.0	-0.04376152842967883	0.03651130746147302	0.08284389988477306	0.002172104294619272	0.10986745301847989	0.47339315183897784
ENSG00000110934.10	1.534274623045495	1.0	1.0	-0.04481007647071989	0.03852375834245669	0.08284389988477306	0.010267453738196555	0.10897850973757772	0.47131729477576345
ENSG00000149452.15	1.2252316196404331	1.0	1.0	-0.03181003519750027	0.7272755381839954	0.7371784581653974	0.013642335504863112	1.3750664393241685e-05	0.0022577420664392786
ENSG00000158528.11	1.450731070247989	0.10154073486091786	0.8213730093518901	-0.03539750902954188	0.02099790476432739	0.08284389988477306	0.00015664855632110093	1.0	1.0
ENSG00000115275.11	3.5024584953894244	1.0	1.0	-0.03513642836507036	0.05788156272048506	0.08329092613705355	-0.001863790901759883	1.0	1.0
