	int__beta	int__p	int__padj	Subject.death__beta	Subject.death__p	Subject.death__padj	counts__beta	counts__p	counts__padj
ENSG00000272681.2	2.4873999977201517	0.2755643298699406	0.6689446623943698	-0.040975560724491246	0.08115698039847585	0.09242878323159749	-0.014610899805396434	0.41026231954608294	1.0
ENSG00000261773.1	2.2275276177426826	1.0	1.0	-0.05119572094124996	0.009827345351752892	0.06875511184437887	0.055932606474757604	0.010977478836219245	0.15002554409499635
ENSG00000280195.1	2.218972288686616	0.015077873815802167	0.30909641322394443	-0.041701657734433455	0.03290337306347302	0.06875511184437887	0.0036719559145862346	1.0	1.0
ENSG00000273769.5	1.8599253534941904	0.31154981334608545	0.6689446623943698	-0.038763685828913666	0.04254019451195623	0.06875511184437887	0.014622294757867213	1.0	1.0
ENSG00000260081.1	1.386114614160788	1.0	1.0	-0.04314771447432378	0.03476066304911196	0.06875511184437887	0.01645383357894726	0.048759978735658405	0.3941356567234791
ENSG00000236337.1	1.873348176909481	0.17996925647686957	0.6689446623943698	-0.03963043275285285	0.04577492815769402	0.06875511184437887	0.014403343944805944	1.0	1.0
ENSG00000268066.5	1.9521281408289926	0.358945916406735	0.6689446623943698	-0.038487316179991085	0.0416986761085818	0.06875511184437887	0.015552109802588317	1.0	1.0
ENSG00000281508.1	2.4502743316589157	1.0	1.0	-0.04506450502168106	0.07821226789953051	0.09162008525373574	5.283563825231947e-05	1.0	1.0
ENSG00000203930.10	2.0121572909675076	0.27436522219077164	0.6689446623943698	-0.042225247640174504	0.050263572521582534	0.06875511184437887	0.0008448363882706078	1.0	1.0
ENSG00000232611.1	1.720839474518912	0.24524269176636593	0.6689446623943698	-0.04057689881396728	0.05153945251287462	0.06875511184437887	0.003345425077287073	1.0	1.0
ENSG00000235813.1	1.867217511206231	0.2367066571706361	0.6689446623943698	-0.03830354213278279	0.038502348136604136	0.06875511184437887	0.014096994620485965	1.0	1.0
ENSG00000227060.6	2.050406620757466	1.0	1.0	-0.041529317332038095	0.04950281861097483	0.06875511184437887	0.020531725668070853	0.20462133569806873	1.0
ENSG00000223749.8	1.6001147258303015	1.0	1.0	-0.04565194054326294	0.03259054256989036	0.06875511184437887	0.03477336661918706	0.007733408755852822	0.15002554409499635
ENSG00000235189.1	2.048847728593513	0.4636593891180757	0.8265232588626567	-0.04686983634729727	0.14534969391864228	0.1610631743422793	0.032708894413242956	1.0	1.0
ENSG00000260683.1	1.8446285453077669	0.26084363501395913	0.6689446623943698	-0.037471190379584685	0.037557766806099235	0.06875511184437887	0.007688148413325675	1.0	1.0
ENSG00000280223.1	1.7795829159331935	0.2313977433921689	0.6689446623943698	-0.036795856833284596	0.035919392941772044	0.06875511184437887	0.008698654732167138	1.0	1.0
ENSG00000260585.1	1.9213899201905191	0.3553884603004699	0.6689446623943698	-0.03698377947431399	0.041962783448406205	0.06875511184437887	0.007275408926327354	1.0	1.0
ENSG00000203650.8	2.217877906185309	1.0	1.0	-0.043868800996227725	0.30369912957699996	0.30369912957699996	0.005914932018183694	1.0	1.0
ENSG00000235244.3	1.8655514864901364	0.28866838312923093	0.6689446623943698	-0.03801084856447142	0.036110814851215145	0.06875511184437887	0.0019787354757097534	1.0	1.0
ENSG00000271826.5	1.8558843248051418	0.3033678467425822	0.6689446623943698	-0.040490025684966915	0.06215142146790442	0.07494730235835532	0.012174929993144339	1.0	1.0
ENSG00000229487.1	1.8514918915019392	0.16513678302807588	0.6689446623943698	-0.03798291521471032	0.03066284074671366	0.06875511184437887	0.01993110824601421	1.0	1.0
ENSG00000237863.2	2.293365773302385	1.0	1.0	-0.04582873342901035	0.013324980647702045	0.06875511184437887	0.010930121854106984	0.04864763105100589	0.3941356567234791
ENSG00000261409.1	1.5459846541609596	1.0	1.0	-0.045554041349050015	0.01288324775866001	0.06875511184437887	0.01657292888983769	0.0017967196940921193	0.07366550745777689
ENSG00000236064.1	3.037111798399316	0.007138819647123595	0.2926916055320674	-0.045091199012716576	0.00487080839696874	0.06875511184437887	-0.004731418992749158	0.057678388788801827	0.3941356567234791
ENSG00000231728.3	2.052378540471586	0.19484974499063656	0.6689446623943698	-0.03883816942975927	0.029889532320996004	0.06875511184437887	0.011448139718007294	1.0	1.0
ENSG00000234405.1	2.357979915662099	0.34167792638397443	0.6689446623943698	-0.045587209030560544	0.19572402124467447	0.20061712177579133	0.018181011548377975	1.0	1.0
ENSG00000239407.5	1.8210442101137874	0.1860702893577555	0.6689446623943698	-0.03631104773999388	0.027656910566266957	0.06875511184437887	0.004632385509024737	1.0	1.0
ENSG00000261101.2	1.7179907800207093	0.13863084694134453	0.6689446623943698	-0.03515019170799956	0.024262221615618418	0.06875511184437887	0.008222948562854314	1.0	1.0
ENSG00000228275.1	1.0037675824660663	0.6866447606843634	1.0	-0.048400786461283075	0.04781527583117173	0.06875511184437887	0.10928749172808921	1.0	1.0
