	int__beta	int__p	int__padj	Subject_death__beta	Subject_death__p	Subject_death__padj	counts__beta	counts__p	counts__padj	status
ENSG00000137207.11	-0.475673752783379	0.8262572477740522	0.9781239273245286	-0.02664685074445772	0.4097426564013843	0.9167572332199594	0.0015778397794145734	0.1875395202103749	0.435103834726958	PL
ENSG00000124571.17	6.738301135655243	0.11702500286508555	0.8108092020741628	-0.020262954100905662	0.546039444092671	0.9167572332199594	-0.00574432577444999	0.15332908692060754	0.435103834726958	PL
ENSG00000275720.1	1.4173086769688727	0.43573700287194106	0.8653218259308152	0.005769603054687161	0.8807615099492453	0.9650152698065892	-0.04425609481741533	0.4282942516321795	0.5527326542144277	PL
ENSG00000170734.11	4.537881462523782	0.13727765461663077	0.8108092020741628	-0.03039209529684668	0.3672513939652964	0.9167572332199594	-0.011035794979075156	0.15407185497704345	0.435103834726958	PL
ENSG00000172426.15	-2.142510981565006	0.48687509484133784	0.8864348482204261	-0.0356395842246844	0.2936319956253758	0.9167572332199594	0.06260084807840059	0.09355066607465012	0.435103834726958	PL
ENSG00000096080.11	-2.0893275797448454	0.517208936146095	0.8989325972258736	-0.014002188151737522	0.6387270174734104	0.9167572332199594	0.005557362476752383	0.21442499032798845	0.435103834726958	PL
ENSG00000112715.20	0.41245037849379945	0.8508522716835636	0.9819481635094164	-0.06023160607143184	0.21852231878226047	0.9167572332199594	0.0018189958812867986	0.2606038212966463	0.441964321436408	PL
ENSG00000156875.13	0.2328071166073596	0.9717751327430976	0.9953744299870351	-0.010904737797779538	0.7830840174277524	0.9340831891440284	0.0005033261093282917	0.8903784876886299	0.9186788332444141	PL
ENSG00000237686.6	5.953939145527199	0.2359124681245517	0.8108092020741628	-0.03915408105471052	0.2977284173660971	0.9167572332199594	-0.0457868011271231	0.3040294512717111	0.4626230719660548	PL
ENSG00000137216.18	-1.3330252890687038	0.6276910573356558	0.9427183224511222	-0.02930084392506222	0.3975445979722827	0.9167572332199594	0.0025773349764226087	0.1604947328382531	0.435103834726958	PL
ENSG00000164776.9	2.0244739994815264	0.34667101970246783	0.8263657421627958	0.00854456277871354	0.8445783440932659	0.9517225099521656	-0.006450232809361087	0.435245608410752	0.5578713276499552	PL
ENSG00000146232.15	0.09627381340399123	0.9615768274562242	0.994168704461459	-0.012298276120876497	0.6617344396886709	0.9167572332199594	0.002459732317237094	0.33502295420545203	0.4834118861810897	PL
ENSG00000124608.4	-3.528077220786226	0.39422894385368956	0.8447644380427165	-0.02591135793988032	0.449021029248725	0.9167572332199594	0.010839728807341124	0.19007933200097815	0.435103834726958	PL
ENSG00000096401.7	4.409646740914653	0.49683218066801227	0.8895808572784017	-0.028488328929935795	0.4628591574872576	0.9167572332199594	-0.001416456631884517	0.5969492367900164	0.6871765754758077	PL
ENSG00000124813.20	-8.132920310959966	0.3529798619812705	0.8265221816238614	0.008120877946198205	0.8337559265264498	0.9480998791822343	0.04903696635126345	0.28022085147824594	0.44916613493864643	PL
ENSG00000271857.1	0.9982015683135501	0.6034858847807374	0.9322188190179417	-0.04017255343182426	0.2714194471316199	0.9167572332199594	0.08246144597062757	0.14861703577604846	0.435103834726958	PL
ENSG00000112782.15	-0.3338099765291445	0.9576278433953358	0.9939211820818209	-0.01548649520820058	0.5845296634390363	0.9167572332199594	0.006362615455655482	0.8053960350827807	0.8522685044195386	PL
ENSG00000172771.11	1.8153078740374922	0.3499461476513672	0.8265221816238614	0.0004185270156734855	0.9899053593808018	0.9964638561216334	-0.005911993912636832	0.19108610759442235	0.435103834726958	PL
ENSG00000163472.18	-1.342272907900281	0.874780471051212	0.9846337077076587	-0.02089829583360393	0.5467704264457282	0.9167572332199594	0.031164397659371075	0.7669185181311058	0.821585097804453	PL
ENSG00000231769.2	-0.2961430551308947	0.8898231082384718	0.9871354368126902	-0.028228021157393948	0.3769347311863571	0.9167572332199594	0.051419612490623205	0.256589286109588	0.44090791140782054	PL
ENSG00000219545.10	-2.2149774076038664	0.6895214205138611	0.9600026549054773	-0.026921888108266588	0.4113193875275467	0.9167572332199594	0.007989030964039481	0.5046055170324801	0.6125982588302322	PL
ENSG00000180938.5	5.5901308191891	0.08951374005724477	0.8108092020741628	-0.04539050273875136	0.2062903345681527	0.9167572332199594	-0.036487423052611656	0.09685400127727128	0.435103834726958	PL
