gene_id,H_0689_BA9_mRNASeq,H_0709_BA9_mRNASeq,C_0074_BA9_mRNASeq,C_0107_BA9_mRNASeq,H_1106_BA9_mRNASeq,H_0821_BA9_mRNASeq,H_0723_BA9_mRNASeq,C_0103_BA9_mRNASeq,C_0113_CAP_mRNASeq,H_0513_BA9_mRNASeq,C_0106_BA9_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_0656_BA9_mRNASeq,C_0054_BA9_mRNASeq,H_0802_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_0791_BA9_mRNASeq,H_1104_BA9_mRNASeq,H_0601_BA9_mRNASeq
ENSG00000044090.8,229.891,398.092,710.512,1005.45,671.118,1142.78,560.92,884.115,829.0,1576.85,887.0,992.805,965.69,367.578,290.9770000000001,718.54,979.061,591.862,1298.14,347.545,560.706
ENSG00000168303.6,141.30100000000004,305.16,720.315,897.8839999999999,793.7769999999998,850.63,321.909,777.975,706.8,1198.74,967.325,779.7489999999998,861.628,239.249,225.9,801.007,870.405,633.742,1095.88,227.133,294.01
ENSG00000112651.11,139.85399999999998,362.536,477.797,436.639,444.226,298.015,581.76,386.774,355.214,2220.61,293.463,284.623,388.408,508.801,408.705,532.4159999999998,434.6230000000001,505.554,331.986,258.793,441.04
ENSG00000099864.17,2627.88,5546.59,3528.18,3465.85,2783.78,4876.48,6235.29,3446.32,3290.36,18974.2,2142.95,4515.53,4488.65,5077.04,4021.01,2455.9,2440.42,3397.54,2899.82,4094.2,4072.03
ENSG00000146216.11,342.0,870.0,1233.0,2056.68,1152.0,2804.0,950.0,1837.0,1484.0,2904.0,1703.8,2055.53,2073.0,856.0,530.143,1116.0,1513.45,964.239,2033.12,738.0,1340.0
ENSG00000146215.13,24.0,64.8106,58.4381,89.7906,48.58,167.222,91.0555,91.9626,110.512,326.248,66.6561,128.219,116.387,34.0,107.201,60.0,105.0,30.9896,90.6615,47.9057,46.8465
ENSG00000171467.15,335.204,242.122,1558.66,2496.27,1954.93,2581.32,372.425,2181.18,1990.64,1047.06,2257.27,1970.66,2595.07,341.139,213.852,1744.85,2179.14,1400.54,2956.32,348.543,583.125
ENSG00000102125.15,474.0,754.0010000000002,197.0,504.0,296.0,596.0,693.0,407.0,317.0,2881.0,331.0,317.0,491.999,574.0,700.0,256.0,479.0,236.0,444.0,475.0,574.0
ENSG00000188910.7,1.0,13.0,17.0,39.0,21.0001,96.0,8.0,44.0,22.0,10.0,56.0,76.0,42.0,24.0,11.0,13.0,41.0,29.0,54.0,7.0,7.0
ENSG00000228204.2,5.102130000000002,3.0,14.0,72.0,39.0,84.0,6.0,38.0,44.0,10.0967,42.0,28.0,65.0,7.0,3.0,17.0,49.0,31.0,35.0,1.0,21.05
ENSG00000149761.8,193.666,312.421,399.86800000000005,319.5370000000001,337.289,365.149,384.11300000000006,307.6090000000001,277.438,1654.78,179.832,220.497,339.44199999999995,316.826,287.465,396.452,339.5180000000001,213.491,328.784,177.315,380.197
ENSG00000138152.8,6.0,27.0,13.0,58.0,41.0,31.0,17.0,10.0,19.0,82.0,13.0,7.0,29.0,30.0,52.0,27.0,27.0,66.0,9.0,4.0,30.0
ENSG00000124574.14,221.08,313.369,390.088,684.409,490.633,828.525,405.931,691.155,464.62,1623.94,638.234,641.6569999999998,681.82,389.197,347.357,358.3780000000001,625.124,302.248,764.918,369.885,491.732
ENSG00000056736.9,792.0,465.0,513.0,714.0,701.0,980.0,374.0,708.0,656.9989999999998,1245.0,869.0,824.9989999999998,820.0,193.0,197.0,669.0,818.0,862.0,1494.0,402.0,408.0
ENSG00000160145.15,667.072,1992.29,15685.6,21484.4,16538.7,18326.5,3528.78,17919.7,7477.02,10495.8,17086.7,8718.36,8592.33,3263.46,1682.43,17540.5,19810.7,5973.89,21775.7,2118.91,4539.86
ENSG00000119729.11,1457.88,1097.61,1305.27,2111.75,1826.09,2091.04,1533.48,1899.78,3488.08,5057.68,1658.19,3284.51,3666.79,960.8,1175.56,2467.94,2028.25,3495.18,2734.92,1301.49,1158.47
ENSG00000010219.13,122.0,287.717,380.598,499.585,509.492,368.757,404.864,340.185,371.0,1369.57,347.708,297.877,411.804,316.9170000000001,250.0,467.684,469.412,429.341,437.6880000000001,162.607,278.825
ENSG00000171462.14,35.0049,96.5706,154.33,77.1426,113.637,90.8108,143.412,141.274,130.56799999999998,540.985,71.4717,122.766,115.193,136.966,96.1606,106.96,103.956,93.122,94.9418,67.3603,126.176
ENSG00000197467.13,32.0,19.0,55.9999,57.0,59.0,58.0,18.0,41.0,34.0,275.0,16.0,50.0,44.0001,11.0,42.0,36.0001,85.9999,31.0,30.9999,14.0,28.0
ENSG00000029725.16,1003.26,1528.94,7170.33,7754.51,8016.45,5112.03,1637.3,6214.2,5841.46,6514.11,7046.17,4472.04,6044.4,1578.77,1551.91,8294.39,7193.31,5370.32,7910.5,1233.89,2618.66
ENSG00000137221.14,520.139,878.289,264.809,1226.68,602.804,1006.68,591.263,539.215,563.77,1905.16,625.196,572.201,965.485,669.784,941.72,475.5630000000001,506.595,471.408,604.932,397.134,1129.81
ENSG00000171453.17,77.9992,313.837,434.282,352.028,421.459,300.163,263.108,326.67,366.358,1124.95,412.842,252.08900000000003,327.968,235.823,166.101,447.166,436.911,432.617,428.277,154.572,225.298
ENSG00000137207.11,555.0,1187.0,1195.0,946.32,1089.0,808.0,1342.0,710.9989999999998,972.714,4476.68,958.746,826.0,913.524,1280.0,823.0,1129.22,998.584,1170.14,1101.64,804.0,1291.0
