H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
3689.0,1831.0,10669.0,2118.0,6584.0
6712.0,5541.0,7137.0,7787.0,4082.0
5438.25,3523.34,3926.53,3687.79,2893.56
1036.41,566.795,1295.29,1010.33,934.987
552.496,344.237,292.043,672.1060000000001,172.0
411.626,424.797,66.5349,370.61800000000005,63.3662
23.012,53.1447,2.03711,32.7161,3.01251
27.9325,16.774,1.04262,36.0582,1.05326
1386.74,1473.98,205.0,1067.37,231.0
1626.0,4335.0,1336.0,4362.0,1658.0
152.19799999999995,165.453,43.364,156.07,40.4098
140.25,154.987,8.47423,82.9393,3.39459
527.0,318.0,39.0,363.0,49.0
2591.49,1820.2,479.0,1894.6,379.0
12613.4,7437.83,1318.09,8872.1,1206.01
239.031,256.935,4.07868,151.659,3.58627
11.0,9.0,20.0,22.0,7.0
41.0,27.0,1.0,32.0,3.14624
719.5139999999999,660.268,1277.14,832.888,943.869
15367.0,11057.0,10339.0,17125.3,8298.0
507.0,2165.0,80.0,1999.0,68.0
2944.66,1219.19,1405.0,2101.01,1357.02
927.0,1481.0,106.0,1222.0,300.0
3116.19,2408.42,1987.05,3520.47,1515.89
125.0,428.0,6.0,595.0,13.0
235.862,228.659,11.7488,182.237,9.94161
85.9999,33.0,6.0,26.0,1.0
7821.37,2644.18,487.0,3279.9,487.231
37.2856,38.7046,3.0,40.5307,3.62004
648.599,486.098,247.018,999.806,154.662
56.2006,26.2866,9.0,60.1569,18.015
19.4427,20.328,2.00069,13.9257,2.01826
171.16099999999997,61.7533,236.0,97.7189,135.0
1173.06,1350.18,298.543,1388.02,360.271
2288.8,3007.97,179.046,2192.71,290.0
2534.46,2436.65,771.051,2505.84,890.582
8.56563,8.09863,8.740689999999999,7.5560399999999985,4.40761
24.5104,20.4916,2.00957,61.4364,2.0157700000000003
1143.66,589.747,212.255,691.378,186.069
45.0,3.0,34.0,18.0,29.0
3411.97,2386.22,614.499,3151.37,480.666
6339.0,3482.0,1793.0,4198.32,1474.0
1623.85,1095.57,176.639,1123.18,210.735
2644.27,1694.02,1446.22,2256.26,1123.52
138.325,153.512,10.3591,147.00799999999995,4.3027
512.3480000000002,933.254,262.42400000000004,849.02,268.288
731.887,739.182,230.991,620.528,149.887
10.0,21.8627,4.0,36.6103,4.71235
13217.0,10424.8,1431.95,9658.72,938.576
177.0,94.0,303.0,163.0,186.0
