gene_id,Gene name,HGNC symbol,H/C,Log2FC,C_0113_CAP_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,H_1105_CAP_mRNASeq
ENSG00000257268,RP1-74B13.2,,2.1204093856847077,1.0843428316178791,28.200591830072927,47.2136208821426,39.24607486446453,95.8009242101028
ENSG00000225386,AC099754.1,,2.1206223884358444,1.0844877482463722,8.306384833823634,8.270051542789785,12.75435149345304,36.39181742977722
ENSG00000176998,HCG4,HCG4,2.1207740975379976,1.084590954805887,16.612769667647267,19.641372414125737,20.406962389524864,58.86911643052198
ENSG00000142513,ACPT,ACPT,2.1208766559519154,1.0846607203400096,7.268086729595681,35.14771905685659,20.406962389524864,23.54764657220879
ENSG00000216639,RP3-355L5.3,,2.1209264955847145,1.0846946226162413,6.2297886253677275,22.74264174267191,11.053771294325967,13.914518429032466
ENSG00000110172,CHORDC1,CHORDC1,2.1212857324273475,1.0849389617415628,2761.0838506871446,5984.012882638547,2346.435050052547,4850.494089603571
ENSG00000084674,APOB,APOB,2.122736370874087,1.085925209656299,22.842558293015,41.45487386596521,17.864084817770152,44.95459800148951
ENSG00000224271,RP11-191L9.4,,2.1229452832384936,1.0860671877210277,8.306384833823634,25.843911071218077,14.455016721590068,22.477299000744754
ENSG00000186810,CXCR3,CXCR3,2.1230436015967475,1.0861340006175066,6.2297886253677275,21.708885299823187,11.053771294325967,14.984866000496506
ENSG00000131941,RHPN2,RHPN2,2.1231791217632225,1.0862260891794677,377.3715225778585,566.9947337736678,238.97998451302882,741.6299177490013
ENSG00000270168,LA16c-380H5.3,,2.1232044710355535,1.0862433138454375,14.536173459191362,45.16347510468501,15.305221792143648,18.19590871488861
ENSG00000276107,CTD-2033D15.2,,2.1240948859895497,1.0868482145832006,32.18724123106659,34.11396261400786,27.209283186033147,92.0498911459071
ENSG00000274267,HIST1H3B,HIST1H3B,2.1245828629248673,1.0871796127024986,12.459577250735451,15.506346642730849,17.005801991270722,47.09529314441758
ENSG00000258999,RP11-114N19.3,,2.1248484514605828,1.0873599489571855,48.80001089871386,126.11828602754422,24.65841288734255,29.969732000993005
ENSG00000262668,AJ003147.9,,2.1248857463931667,1.0873852706416887,12.459577250735451,15.506346642730849,3.4011603982541434,18.19590871488861
ENSG00000199933,RNY1P16,RNY1P16,2.1256760800853884,1.0879217693720227,10.382981042279543,48.58655281388999,17.005801991270722,9.633128143176325
ENSG00000161638,ITGA5,ITGA5,2.125695792844034,1.0879351483470876,181.70216823989202,518.9457343100589,488.9159569589337,906.5843930300383
ENSG00000246548,RP11-7F17.5,,2.1257852497922163,1.0879958608819622,59.74346525765565,73.50897339195271,54.76693022585749,169.91553627477276
ENSG00000273819,ENPP7P7,ENPP7P7,2.126711664105048,1.0886244484544574,7.334465127398974,17.927197480593986,5.247029666693638,8.830014249879714
ENSG00000254815,RP11-496I9.1,,2.126874913291129,1.0887351873741986,74.7574635044127,221.22387876962674,54.418566372066294,53.517378573201796
ENSG00000262251,RP11-199F11.2,,2.128814166835809,1.0900500163539055,30.78356602396081,29.479218978139897,17.16642179107827,72.59739438211972
ENSG00000087250,MT3,MT3,2.1289595662733136,1.0901485500293266,10457.738505783956,13996.028479728862,6812.515774802055,22771.644582897366
ENSG00000224950,RP5-1086K13.1,,2.1289989077029734,1.0901752096061263,9.344682938051587,59.957873685225934,26.358993086469614,16.05521357196054
