gene_id,Gene name,HGNC symbol,H_1105_CAP_mRNASeq,H_1104_CAP_mRNASeq,C_0113_CAP_mRNASeq,C_0114_CAP_mRNASeq,H_CAP_L2FC,C_CAP_L2FC,all_L2FC,Entropy,Weighted,T-test Statistic,p-value
ENSG00000181885,CLDN7,CLDN7,5.14998573086269,2.897599541786052,6.3819572093990615,11.671282672572515,-0.8297102117469792,-0.8708922811836294,-1.1656299064276032,1.830111660224345,-0.25903018478346673,-1.7404374215052847,0.27987146155817555
ENSG00000279082,LINC01727,LINC01727,11.15830241686916,20.283196792502363,37.38003508362307,28.011078414174037,0.8621674928906891,0.4162703955430563,-1.0564245795532858,1.8793704012560106,0.5253459275341175,-2.59588035636665,0.12194501802744816
ENSG00000142178,SIK1,SIK1,282.968540975116,464.217661523946,102.34106580992335,100.29833477501914,0.7141597418229119,0.029087509698969918,1.8825530999406073,1.7140842366286295,1.0849711470227796,3.004219935057633,0.20451345388235373
ENSG00000249460,RP11-665C14.2,,11.15830241686916,6.761065597500787,29.174661528681423,14.783624718591852,-0.7227950078304672,0.9807158789236996,-1.2946153857468163,1.799538449207988,0.190710983638601,-1.7304084828792814,0.3032971491007419
ENSG00000196109,ZNF676,ZNF676,46.595869229508416,63.858554328349115,151.34355668003485,113.10951272194626,0.45467782841783905,0.42010698720320244,-1.2595605223316826,1.85872630326089,0.36848764913756227,-3.670963038056911,0.11214742292475023
ENSG00000175556,LONRF3,LONRF3,377.66647859421914,437.5375308096938,151.34355668003485,250.5435347045566,0.21229403592595616,-0.7272340544004071,1.0203709083346382,1.897861647150366,0.6008231342526383,3.567164582898368,0.09313459345423454
ENSG00000272182,RP11-802O23.3,,15.824876153794875,15.151548003999267,36.313701204749755,40.82739172547706,-0.06272901054384061,-0.1690234217744184,-1.316328973552798,1.862305497254754,0.07855602284592422,-10.115765031774085,0.05710121647404968
ENSG00000270947,AC025811.3,,7.724978596294036,4.82933256964342,32.8214942197666,20.23022329912569,-0.6777071183019291,0.6981286756685053,-2.07921658580335,1.6637224010055922,-0.09876815685779539,-3.1344885473655024,0.1771480596551347
ENSG00000269138,ZNF209P,ZNF209P,6.00932093322399,3.8634660557147353,56.644611115915076,28.789163925678874,-0.6373062498258546,0.9764128200151088,-3.113277226156475,1.4067010262690918,-0.34186740742453225,-2.7045975642690765,0.2230931580519532
ENSG00000163017,ACTG2,ACTG2,43.95941986768878,74.34371144360473,101.60896414718798,161.24110437812382,0.7580383661510931,-0.6661918845090041,-1.1517518508060152,1.8528506850481947,0.19823632897106713,-2.159776425480521,0.20562326945006734
ENSG00000197360,ZNF98,ZNF98,42.808483889936475,54.34728041908779,143.10718504721902,95.6088133971795,0.3443111016671886,0.5818805881811865,-1.296923757843753,1.8443852140487722,0.3684132865133486,-2.896086054844721,0.19001689082148496
ENSG00000272097,RP11-421M1.8,,13.733295282300508,19.31733027857368,28.262953355910124,41.238532109756214,0.4922178831403833,-0.5450807518090389,-1.0723662347125664,1.8830369512221798,0.18945196196023945,-2.580388381690808,0.17899708903798547
ENSG00000040608,RTN4R,RTN4R,32.6165762954637,23.180796334288413,69.28982113061836,68.47152501242542,-0.4926752244694084,0.01713928717357316,-1.303902049727862,1.860483890986663,0.020261475990741462,-8.654025771466001,0.07110093677849054
ENSG00000259984,RP11-335G20.7,,36.84668874169881,61.75557316757218,25.903179092326184,21.70827453678028,0.7450343632676311,0.2548841113144136,1.050312065412996,1.877189523588123,0.9818550158957909,2.0186667311340987,0.2822397878368725
ENSG00000234289,H2BFS,H2BFS,30.419334883391137,17.843514564969894,13.916131207546485,10.115111649562847,-0.7695888039218719,0.4602459422088655,1.006001830817036,1.8782682032568976,0.6437317930902318,1.8444337644075381,0.2859163853760422
ENSG00000163661,PTX3,PTX3,46.34987157776422,28.975995417860517,7.293665382170356,10.115111649562847,-0.6777071183019295,-0.4717963257738072,2.1133305161545812,1.661665583977417,0.6563731640140653,3.290466870785924,0.17775983819766353
ENSG00000260219,RP11-347C12.10,,22.31660483373832,17.38559725071631,10.028789900484238,8.558940626553177,-0.3602249284457591,0.22864339236728504,1.0948683938858408,1.8941253817600296,0.714353059891849,4.1035509660559315,0.12298518131173541
ENSG00000227745,AC098826.5,,76.37806504489632,93.57913624179726,167.35497561024434,182.32488748337033,0.29302854101773956,-0.12360005951846893,-1.040863226531597,1.908593054989462,0.25928957748928394,-7.881548704668189,0.016590925461062608
ENSG00000159650,UROC1,UROC1,3.433323820575126,2.897599541786052,7.293665382170356,5.4465985805338395,-0.2447477110258226,0.42128847030968114,-1.0089073322391295,1.905037915392795,0.268167835609381,-3.3326627301141,0.1563936284526488
ENSG00000163046,ANKRD30BL,ANKRD30BL,341.5882535566605,258.85995266499873,673.4450940237626,642.0652708966282,-0.4000865767074372,0.06884036165774611,-1.1315109038983784,1.8924646210620324,0.10742687552849073,-8.081648157648473,0.0468936485851593
ENSG00000233469,ST6GALNAC4P1,ST6GALNAC4P1,5.14998573086269,2.897599541786052,6.3819572093990615,11.671282672572515,-0.8297102117469792,-0.8708922811836294,-1.1656299064276032,1.830111660224345,-0.25903018478346673,-1.7404374215052847,0.27987146155817555
ENSG00000259322,RP11-762H8.1,,13.733295282300508,19.31733027857368,29.174661528681423,43.572788644270716,0.4922178831403833,-0.5787115296903189,-1.1382191034819447,1.8698951276329172,0.1612955944002592,-2.570531603798853,0.18799786009871033
ENSG00000138798,EGF,EGF,180.24950058019417,112.04051561572732,56.52590671182025,83.25514973101727,-0.6859747342855301,-0.5586272836469868,1.0642316960771803,1.872755253447446,0.4230962328980274,2.0817706263174878,0.23698903969134247
