gene_id,C_0113_CAP_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,H_1105_CAP_mRNASeq
ENSG00000123496.7,251.0,175.0,140.0,308.0
ENSG00000222715.1,5.0,10.0,14.0,5.0
ENSG00000276158.2,20.0,17.0,29.0,20.0
ENSG00000222321.1,12.0,11.0,17.0,11.0
ENSG00000229487.1,42.5791,46.0713,34.2727,18.8251
ENSG00000077279.17,1574.5,1012.5,1155.81,949.913
ENSG00000224142.1,16.6048,14.255999999999998,20.6042,13.7556
ENSG00000265584.1,4.0,8.0,8.0,11.0
ENSG00000157600.11,1434.0,1298.0,1666.0,1382.0
ENSG00000068366.19,3141.0,1704.0,2786.0,3515.0
ENSG00000176076.7,80.0,8.0,20.0,33.0
ENSG00000237863.2,14.0,24.0,26.0,15.0
ENSG00000261409.1,69.1982,43.5671,55.7326,52.3065
ENSG00000188153.12,1782.0,1126.0,3016.99,1386.0
ENSG00000101844.17,353.0,317.0,363.0,342.0
ENSG00000101843.18,1187.36,842.1669999999998,962.0,1571.62
ENSG00000170925.3,18.0,23.0,27.0,3.0
ENSG00000277883.1,172.0,232.0,279.0,133.0
ENSG00000236064.1,169.239,204.538,163.811,145.009
ENSG00000157514.16,1122.0,1829.0,1499.0,2065.0
ENSG00000147234.10,246.103,343.4790000000001,366.732,306.1620000000001
ENSG00000198088.10,54.3381,17.0,15.0,23.0
ENSG00000089682.16,704.482,722.597,822.327,470.362
ENSG00000165376.10,25.0,13.0,30.0,37.0
ENSG00000133138.19,1248.74,1051.54,1803.81,765.705
ENSG00000263515.1,9.0,5.0,10.0,6.0
ENSG00000123572.16,43.0,16.0198,14.0,13.0131
ENSG00000156504.16,1458.0,965.0,1394.0,1313.0
ENSG00000189108.12,153.0,58.0,56.0,69.0
ENSG00000166707.10,201.0,159.0,231.0,189.0
ENSG00000235946.1,14.0,14.0,13.0,5.0
ENSG00000231728.3,38.2144,45.3863,58.645,27.4547
ENSG00000123570.3,1591.0,1069.0,1263.0,1266.0
ENSG00000179363.6,12.0,21.0,8.0,12.0
ENSG00000188828.11,34.0,125.0,57.9999,61.0
ENSG00000172465.13,655.076,496.22,639.914,867.732
ENSG00000224031.1,12.0,25.0,14.0,15.0
ENSG00000196507.10,984.832,825.7810000000002,715.467,1586.65
ENSG00000133142.17,2652.0,1778.0,1564.0,3646.44
ENSG00000172476.4,486.574,1025.97,778.735,355.654
ENSG00000234405.1,46.6105,130.184,89.3371,46.3196
ENSG00000182916.7,1259.0,579.0,855.0,2354.0
ENSG00000102409.9,4371.01,2324.0,3287.0,5366.0
ENSG00000147206.16,4.0,6.2915800000000015,18.6702,4.0
ENSG00000229794.2,18.0,23.0,27.0,13.0
ENSG00000234886.1,18.0,19.0,44.0,18.0
ENSG00000226056.1,20.0,20.0,22.0,19.0
ENSG00000228316.1,5.0,8.0,8.0,6.0
ENSG00000237628.2,10.0,8.0,13.0,3.0
ENSG00000237300.2,8.0,8.0,10.0,7.0
ENSG00000230320.1,17.0,24.0,14.0,13.0
ENSG00000158164.6,14.5847,27.8164,32.4567,15.0
ENSG00000184515.10,1235.0,309.0,866.0,1496.0
ENSG00000184867.13,1716.0,1659.0,1361.0,1394.0
ENSG00000261101.2,137.0,66.0,128.0,138.0
ENSG00000237682.2,13.1031,15.3955,18.4181,7.10428
ENSG00000126945.8,3673.88,2236.07,2786.0,5284.91
ENSG00000010671.15,73.0,112.0,185.0,138.001
ENSG00000225839.2,19.272,35.9279,20.9543,26.2882
ENSG00000174225.14,42.0,62.0,51.0,15.0
ENSG00000182489.8,25.0,60.0,54.0,28.0
ENSG00000007952.17,34.0,31.0,22.0,35.0
ENSG00000102359.5,118.0,59.0,187.0,179.0
ENSG00000234889.2,16.2775,24.4477,13.1283,12.6901
